R,G,B,y
199,240,253,1
177,215,236,1
183,215,240,1
200,237,254,1
176,210,237,1
182,213,241,1
195,222,208,0
208,219,204,0
201,219,202,0
193,216,205,0
207,212,203,0
193,209,197,0
200,217,228,0
202,219,229,0
201,209,212,0
199,204,208,0
227,237,226,0
226,246,244,0
230,244,221,0
222,240,226,0
205,234,212,0
211,246,248,1
210,244,253,1
219,255,255,1
247,252,248,1
200,247,254,1
