PCA1,PCA2
2.453676557456693,-1.5269875788308798
0.9274882835296,1.6477392954817813
0.9029528108301879,1.1876317777258816
2.279494153120607,-1.4215124613843628
0.6912864706416774,2.0346172043727546
0.8498034187701928,1.3943281277876038
-0.2741072523127693,-0.3903842842438758
-1.0027718177756983,-1.2822718537958133
-0.8704730040924318,-0.7296545904679502
-0.6968299127775403,0.11345728145035573
-1.4387641495327033,-0.7871417751448245
-1.4349745146445625,0.4864054408806678
0.04832224947838393,-0.37459737216266237
0.149219443855454,-0.6500657288773773
-1.0918698819331971,-0.06970504707301937
-1.4924528546138913,0.3681415642817192
