R,G,B,y
254,155,61,1
255,165,76,1
251,160,90,1
254,173,120,1
235,168,151,1
250,193,173,1
201,170,176,1
40,180,231,0
132,194,235,0
180,194,220,0
46,195,241,0
154,214,249,0
43,210,243,0
209,180,183,2
253,233,240,2
196,166,169,2
