R,G,B,cluster
144,205,146,2
151,206,179,2
154,203,167,2
138,218,245,0
159,227,189,1
156,225,194,1
165,225,187,1
163,222,185,1
166,225,181,1
158,194,144,2
146,211,131,2
125,225,226,0
124,222,218,0
130,221,230,0
139,215,246,0
168,229,177,1
160,198,146,2
155,222,192,1
152,225,188,1
155,219,185,1
157,218,182,1
150,200,172,2
149,225,184,1
147,229,181,1
130,212,245,0
147,214,134,2
162,219,186,1
161,222,179,1
150,200,171,2
164,219,184,1
161,220,187,1
128,210,234,0
